Whse,ItemCode,ItemDescription,DisplayDescription,CommodityCode,CommodityClass,ItemCode,OHQty,AllocQty,AvailQty,WAC,ExtWAC,Loc1,Loc2,Loc3,Manufacturer,MfrPartNumber
01ALC,FC9570B50D,REFURB SFP GE CWDM 1551NM  MFD,,NETWORK,PIC,|FC9570B50D,10,0,10,824.5,8245,1,,,FUJITSU,FC9570B50D
01ALC,FC95700090,SFP OC-48 IR-1,,NETWORK,OPTIC,|FC95700090,1,0,1,150,150,1,,,FUJITSU,FC95700090
01ALC,FC9580C2C2,CARD OC-12 INTFC FW4500 C/T FC,,NETWORK,CARD,|FC9580C2C2,1,0,1,425,425,1,,,FUJITSU,FC9580C2C2
01ALC,FC9580VF21I02,PIC 20G VT SW FABRIC FW4500,,NETWORK,CARD,|FC9580VF21I02,1,0,1,3130,3130,1,,,FUJITSU,FC9580VF21I02
01ALC,FC9682LAM5,PIC FW LAMBDA ACCESS UNIT,,NETWORK,CARD,|FC9682LAM5,22,0,22,162.727272,3580,1,,,FUJITSU,FC9682LAM5I04
01ALC,FC9682RDC1,ROADM WSS SWITCH FABRIC FW7500,,NETWORK,PIC,|FC9682RDC1,1,0,1,3750,3750,1,,,FUJITSU,FC9682RDC1
01ALC,FC9682SHP3I07,REFURB CARD NEM I04-I07 FW7500,,NETWORK,PIC,|FC9682SHP3I07,2,0,2,339.595,679.19,1,,,FUJITSU,FC9682SHP3
01ALC,FC9682SMC1-RF,CARD 10G 8XOC-N/GE TO OTN MUXP,,NETWORK,CARD,|FC9682SMC1-RF,7,0,7,6076.964286,42538.75,1,,,FUJITSU,FC9682SMC1
01ALC,FC9682U5C2,PIC TRANSPONDER 10G UNIVERSAL,,NETWORK,PIC,|FC9682U5C2,2,0,2,6700,13400,1,,,FUJITSU,FC9682U5C2
01ALC,NTCA06FP-RF,TRANSCEIVER OPTERA DX OPT,,NETWORK,TRANSCEIVER,|NTCA06FP-RF,2,0,2,2400,4800,1,,,NORTEL,NTCA06FP
01ALC,NTLX44AA-RF,CARD MG-4000 MEDIA GATEWAY 400,,NETWORK,CARD,|NTLX44AA-RF,1,0,1,18750,18750,1,,,NORTEL,NTLX44AA
01ALC,NT1X55FA-RF,CARD SCSI DDU MFD,,NETWORK,PIC,|NT1X55FA-RF,1,0,1,4700,4700,1,,,NORTEL,NT1X55FA
01ALC,NT7E27DA-S06-RF,CARD FDN600 ESI,,NETWORK,PIC,|NT7E27DA-S06-RF,1,0,1,150,150,1,,,NORTEL,NT7E27DA
01ALC,NT7E33CA-RF,CARD INTERFACE OC12 STS,,NETWORK,CARD,|NT7E33CA-RF,2,0,2,102.835,205.67,1,,,NORTEL,NT7E33CA
01ALC,NT8E01PDS01-RF,PIC OCI48 RING TRMT FDN2400 MF,,NETWORK,PIC,|NT8E01PDS01-RF,3,0,3,2366.403333,7099.21,1,,,NORTEL,NT8E01PD
01ALC,NT8E01PX-RF,CARD OC-48 TRANSMITTER FDN2400,,NETWORK,PIC,|NT8E01PX-RF,1,0,1,2250,2250,1,,,NORTEL,NT8E01PX
01ALC,0120-0162-RF,CARD GBE222 UPLINK/TRANSPORT U,,NETWORK,PIC,|0120-0162-RF,20,0,20,3510.134514,70202.69,1,,,TELLABS,0120-0162
01ALC,090-42110-01-RF,CARD DCD GPS TMG RCVR MFD,,NETWORK,PIC,|090-42110-01-RF,1,0,1,5630,5630,WHSE,,,SYMMETRICOM,090-42110-01
01ALC,090-45100-11-RF,SHELF DCD-LPR,,NETWORK,SHELF,|090-45100-11-RF,5,0,5,75,375,1,,,SYMMETRICOM,090-45100-11
01ALC,11030128REV02,PIC CBX 500 8 PORT DS3 PROCR C,,NETWORK,CARD,|11030128REV02,3,0,3,8175,24525,1,,,ADTRAN,11030128REV02
01ALC,1187040F1,MODULE SWITCH TA5000 SM40 4-10,,NETWORK,MODULE,|1187040F1,45,2,43,3600,162000,1,,,ADTRAN,1187040F1
01ALC,170-0101-902,CARD PWR SUPPLY PLUGGABLE DC51,,NETWORK,CARD,|170-0101-902,4,0,4,1660.3225,6641.29,1,,,CIENA,170-0101-902
01ALC,170-5100-900,CARD 10G 2PORT XFP EXT FEATURE,,NETWORK,CARD,|170-5100-900,10,0,10,1052.380952,10523.81,1,,,CIENA,170-5100-900
01ALC,170-5150-900,SWITCH 5150 48-100/1000M 2-10G,,NETWORK,SWCH,|170-5150-900,5,0,5,3680.5,18402.5,1,,,CIENA,170-5150-900
01ALC,23478486-000-0,TSG T1/E1 FRM GEN W/BP MFD C/T,,NETWORK,PIC,|23478486-000-0,2,0,2,555,1110,1,,,SYMMETRICOM,23478486-000-0
01ALC,3FE24323AA,CARD PWIO-B FOR ALU-7330 GENER,,NETWORK,CARD,|3FE24323AA,2,0,2,420.866951,841.73,1,,,ALCATEL-LUCENT NORTH AMERICA,3FE24323AA
01ALC,3FE68954AB,CARD FGLT-B 16PGPON LT,,NETWORK,CARD,|3FE68954AB,1,0,1,1500,1500,1,,,ALCATEL-LUCENT NORTH AMERICA,3FE68954AB
01ALC,3FE72955AA,CARD FWLT-B 8 PORT NG-PON2,,NETWORK,CARD,|3FE72955AA,19,0,19,3195.573501,60715.9,1,,,ALCATEL-LUCENT NORTH AMERICA,3FE72955AA
01ALC,82.71T-CDWDMS-R6,CFP DWDM TUNABLE 88CH STRAIGHT,,NETWORK,OPTIC,|82.71T-CDWDMS-R6,13,0,13,8790.32258,114274.19,1,,,INFINERA,82.71T-CDWDMS-R6
01ALC,9080396REV01,REFURB CARD SE800 OC3C STM1 AT,,NETWORK,PIC,|9080396REV01,1,0,1,431.92,431.92,1,,,ERICSSON,908-0396
01ALC,546595-001-00,ONT MOTO GPON 1000GJI (FTR CLE,,OSP,ONT,|546595-001-00,2,0,2,1200,2400,1,,,MOTOROLA,546595-001-00
01ALN,FTRASSY4100ES,KIT START UP FOR 4100 ES BASEK,,NETWORK,KIT,|FTRASSY4100ES,2,0,2,89.5,179,WHSE,,,FUJITSU,FTRASSY4100ES
01ALN,001-0002-01,KIT Z33 GSP2 I-TEMP CHASSIS 2C,,NETWORK,KIT,|001-0002-01,3,0,3,768.51,2305.53,1,,,CIENA,001-0002-01
01ALN,002-0014-00,KIT AWG-96 WITH HORIZONTAL FIB,,NETWORK,KIT,|002-0014-00,6,0,6,3572.25,21433.5,1,,,CIENA,002-0014-00
01ALN,002-0451-01,KIT SFP+ TUNABLE ITU C-BAND&JU,,NETWORK,OPTIC,|002-0451-01,1,0,1,1946.541111,1946.54,1,,,CIENA,002-0451-01
01ALN,004-0140-01,KIT WSS-F8 AND FIBER JUMPER Z,,NETWORK,KIT,|004-0140-01,3,0,3,8616.656667,25849.97,1,,,CIENA,004-0140-01
01ALN,280-0009-00,SFP 155M - 2.67G 5KM Z SERIES,,NETWORK,OPTIC,|280-0009-00,11,0,11,69.378182,763.16,1,,,CIENA,280-0009-00
01ALN,280-0010-00,SFP 155M- 2.67G 20KM Z SERIESM,,NETWORK,OPTIC,|280-0010-00,27,0,27,138.17037,3730.6,1,,,CIENA,280-0010-00
01ALN,280-0011-00,SFP 155M -2.67G 40KM Z SERIES,,NETWORK,OPTIC,|280-0011-00,12,0,12,404.465833,4853.59,1,,,CIENA,280-0011-00
01ALN,280-0030-00,SFP 1000BASE-LX I-TEMP Z SERIE,,NETWORK,PIC,|280-0030-00,50,0,50,60.230351,3011.52,1,,,CIENA,280-0030-00
01ALN,280-0069-00,SFP CWDM 1510NM 80KM Z SERIES,,NETWORK,OPTIC,|280-0069-00,2,0,2,470.4,940.8,1,,,CIENA,280-0069-00
01ALN,280-0071-00,SFP CWDM 1550NM 80KM Z SERIES,,NETWORK,OPTIC,|280-0071-00,4,0,4,470.4,1881.6,1,,,CIENA,280-0071-00
01ALN,280-0073-00,SFP CWDM 1590NM 80KM Z SERIES,,NETWORK,OPTIC,|280-0073-00,1,0,1,470.4,470.4,1,,,CIENA,280-0073-00
01ALN,280-0074-00,SFP CWDM 1610NM 80KM Z SERIES,,NETWORK,OPTIC,|280-0074-00,1,0,1,470.4,470.4,1,,,CIENA,280-0074-00
01ALN,280-0183-00,C/T INT-280-0183-00 SFP 1000BA,,NETWORK,OPTIC,|280-0183-00,1,0,1,370.02,370.02,1,,,CIENA,280-0183-00
01ALN,280-0692-00,SFP+ 9.95-11.3G 1310NM 10KM Z,,NETWORK,OPTIC,|280-0692-00,3,0,3,207.666667,623,1,,,CIENA,280-0692-00
01ALN,800-0091-01,MODULE MULTI-RATE OTN MUXPONDE,,NETWORK,MODULE,|800-0091-01,1,0,1,6495,6495,1,,,CIENA,800-0091-01
01ALN,800-0123-02,CARD PSW-618+ Z SERIES MFD,,NETWORK,CARD,|800-0123-02,5,0,5,8882.865,44414.33,1,,,CIENA,800-0123-02
01ALN,800-0138-02,CARD LME-10G10D MUXPONDER Z SE,,NETWORK,CARD,|800-0138-02,1,0,1,6895.53,6895.53,1,,,CIENA,800-0138-02
01ALN,910-0006-01,SHELF LGX Z SERIES MFD,,NETWORK,SHELF,|910-0006-01,3,0,3,1.083333,3.25,1,,,CIENA,910-0006-01
01ALN,910-0025-01,MODULE OPTICAL FIBER SWITCH OF,,NETWORK,MODULE,|910-0025-01,2,0,2,312.075,624.15,1,,,CIENA,910-0025-01
01ALN,910-0028-01,MODULE OPTICAL FIBER SWITCH OF,,NETWORK,MODULE,|910-0028-01,1,0,1,312.01,312.01,1,,,CIENA,910-0028-01
01ALN,950-0004-00,CARD LINE AMB Z SERIES MFD,,NETWORK,PIC,|950-0004-00,11,0,11,25.45,279.95,1,,,CIENA,950-0004-00
01ALN,950-0055-00,ATTENUATOR 5 DB Z SERIES MFD,,NETWORK,ATTENUATOR,|950-0055-00,2,0,2,12.48,24.96,1,,,CIENA,950-0055-00
01ALN,950-0155-00,CARD DCM FBG SMF-28 96CH 20KMM,,NETWORK,CARD,|950-0155-00,3,0,3,955.143333,2865.43,1,,,CIENA,950-0155-00
01ALN,950-0156-00,MODULE DCM FBG SMF-28 96CH 40K,,NETWORK,MODULE,|950-0156-00,1,0,1,955.15,955.15,1,,,CIENA,950-0156-00
01ALN,950-0157-00,MODULE DCM FBG SMF-28 96CH 60K,,NETWORK,MODULE,|950-0157-00,2,0,2,1114.335,2228.67,1,,,CIENA,950-0157-00
01ALN,950-0159-00,DCM FBG SMF-28 96CH 100KMKM Z,,NETWORK,CARD,|950-0159-00,1,0,1,1337.2,1337.2,1,,,CIENA,950-0159-00
01ALN,950-0188-01,KIT AIRFLOW Z SERIES MFD,,NETWORK,KIT,|950-0188-01,1,0,1,151.55,151.55,1,,,CIENA,950-0188-01
01ALN,NT8E01PDS01-RF,PIC OCI48 RING TRMT FDN2400 MF,,NETWORK,PIC,|NT8E01PDS01-RF,4,0,4,800,3200,1,,,NORTEL,NT8E01PD
01ALN,FB016958A-RF,CARD GTD-5 NETWORK CLOCK UNIT,,NETWORK,CARD,|FB016958A-RF,1,1,0,2800,2800,1,,,ALCATEL-LUCENT NORTH AMERICA,FB016958A
01ALU,MSDPCG,PIC DENSE PT CONCR PRNCD,,NETWORK,PIC,|MSDPCG,2,0,2,1,2,1,,,JUNIPER NETWORKS,MS-DPC-G
01ALU,SCBEMXSC,PIC SWITCH CONTROL PRNCD,,NETWORK,PIC,|SCBEMXSC,3,0,3,1,3,1,,,JUNIPER NETWORKS,SCBE-MX-S-C
01ALU,3EC16661BA,CARD DS3 NDW TERMINATION UNIT,,NETWORK,PIC,|3EC16661BA,1,0,1,1,1,1,,,ALCATEL-LUCENT NORTH AMERICA,3EC16661BA
01ALU,3EC16687AA-RF,PIC A7300 ALARM CONTROL UNIT,,NETWORK,PIC,|3EC16687AA-RF,1,0,1,1,1,1,,,ALCATEL-LUCENT NORTH AMERICA,3EC16687AA
01ALU,3EC17382AA-RF,CARD ADSL 7300 12 LINE LT W/TE,,NETWORK,PIC,|3EC17382AA-RF,1,0,1,1,1,1,,,ALCATEL-LUCENT NORTH AMERICA,3EC17382AA
01ALU,3EC17382AA04-RF,CARD ADSL LN TERM UNIT A02-A04,,NETWORK,PIC,|3EC17382AA04-RF,4,0,4,1,4,1,,,ALCATEL-LUCENT NORTH AMERICA,3EC17382AA04
